task,species,t_hours,treatment,day,time,type,Rep,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,bulk_rna,1,Tank_1,POR_R0_C1,DNA/RNA shield,1752,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,bulk_rna,2,Tank_4,POR_R0_C2,DNA/RNA shield,1219,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,bulk_rna,3,Tank_6,POR_R0_C3,DNA/RNA shield,1559,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,1,Tank_2,POR_R0_H1,DNA/RNA shield,2208,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,2,Tank_3,POR_R0_H2,DNA/RNA shield,3003,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,3,Tank_5,POR_R0_H3,DNA/RNA shield,1100,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,bulk_rna,1,Tank_1,POR_R1_C1,DNA/RNA shield,1644,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,bulk_rna,2,Tank_4,POR_R1_C2,DNA/RNA shield,2869,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,bulk_rna,3,Tank_6,POR_R1_C3,DNA/RNA shield,1566,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,1,Tank_2,POR_R1_H1,DNA/RNA shield,1175,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,2,Tank_3,POR_R1_H2,DNA/RNA shield,1554,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,3,Tank_5,POR_R1_H3,DNA/RNA shield,1159,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,1,Tank_1,POR_R3_C1,DNA/RNA shield,1306,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,2,Tank_4,POR_R3_C2,DNA/RNA shield,1653,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,3,Tank_6,POR_R3_C3,DNA/RNA shield,1748,Yes,
sampling,POR,3,heat,"Wed, Jun 25",12:00 PM,bulk_rna,1,Tank_2,POR_R3_H1,DNA/RNA shield,1164,Yes,
sampling,POR,3,heat,"Wed, Jun 25",12:00 PM,bulk_rna,2,Tank_3,POR_R3_H2,DNA/RNA shield,1412,Yes,
sampling,POR,3,heat,"Wed, Jun 25",12:00 PM,bulk_rna,3,Tank_5,POR_R3_H3,DNA/RNA shield,1218,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,1,Tank_1,POR_R12_C1,DNA/RNA shield,2378,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,2,Tank_4,POR_R12_C2,DNA/RNA shield,1123,Yes,
sampling,POR,12,control,"Wed, Jun 25",9:00 PM,bulk_rna,3,Tank_6,POR_R12_C3,DNA/RNA shield,2073,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,1,Tank_2,POR_R12_H1,DNA/RNA shield,1616,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,2,Tank_3,POR_R12_H2,DNA/RNA shield,1584,Yes,
sampling,POR,12,heat,"Wed, Jun 25",9:00 PM,bulk_rna,3,Tank_5,POR_R12_H3,DNA/RNA shield,2376,Yes,"Sampled 3rd - order messed up, make sure pictures reflect this"
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,1,Tank_1,POR_R24_C1,DNA/RNA shield,1298,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,2,Tank_4,POR_R24_C2,DNA/RNA shield,1254,Yes,
sampling,POR,24,control,"Thu, Jun 26",9:00 AM,bulk_rna,3,Tank_6,POR_R24_C3,DNA/RNA shield,1140,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,1,Tank_2,POR_R24_H1,DNA/RNA shield,1186,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,2,Tank_3,POR_R24_H2,DNA/RNA shield,2201,Yes,
sampling,POR,24,heat,"Thu, Jun 26",9:00 AM,bulk_rna,3,Tank_5,POR_R24_H3,DNA/RNA shield,2079,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,1,Tank_1,POR_R72_C1,DNA/RNA shield,1439,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,2,Tank_4,POR_R72_C2,DNA/RNA shield,3002,Yes,
sampling,POR,72,control,"Sat, Jun 28",9:00 AM,bulk_rna,3,Tank_6,POR_R72_C3,DNA/RNA shield,1125,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,bulk_rna,1,Tank_2,POR_R72_H1,DNA/RNA shield,1242,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,bulk_rna,2,Tank_3,POR_R72_H2,DNA/RNA shield,1128,Yes,
sampling,POR,72,heat,"Sat, Jun 28",9:00 AM,bulk_rna,3,Tank_5,POR_R72_H3,DNA/RNA shield,1734,Yes,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,bulk_rna,1,Tank_1,POR_R120_C1,DNA/RNA shield,,,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,bulk_rna,2,Tank_4,POR_R120_C2,DNA/RNA shield,,,
sampling,POR,120,control,"Mon, Jun 30",9:00 AM,bulk_rna,3,Tank_6,POR_R120_C3,DNA/RNA shield,,,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,bulk_rna,1,Tank_2,POR_R120_H1,DNA/RNA shield,,,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,bulk_rna,2,Tank_3,POR_R120_H2,DNA/RNA shield,,,
sampling,POR,120,heat,"Mon, Jun 30",9:00 AM,bulk_rna,3,Tank_5,POR_R120_H3,DNA/RNA shield,,,